NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM),MEASUREMENT
Portrait of a Lady from S. Carolina Huguenot Family,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.5_1,1795,4.4 x 3.5,1.7 x 1.4
George Fisher,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.24_1,1795,6.2 x 5.7,2.4 x 2.2
Mrs. John McCluney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.12.3_1,1795,6.7 x 5.4,2.6 x 2.1
Member of the Washington Family,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.10.2_1-000001,1795,5.1 x 4.1,2.0 x 1.6
Dr. William Beekman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.8_1,1795,7.3 x 5.9,2.9 x 2.3
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.3_1,1795,6.7 x 5.5,2.6 x 2.2
Brother-in-law of Mrs. Alexander Rose,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1,1795,4.0 x 3.0,1.6 x 1.2
David Rittenhouse,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_73Rittenhouse_d1,1796,124.5 x 100.3,49.0 x 39.5
Charles Cotesworth Pinckney,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_122Pinckney-000002,1796,66.2 × 56.2,26.1 x 22.1
George Washington (Lansdowne Portrait),Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_13_ext,1796,247.6 × 158.7,97.5 x 62.5
George Washington,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NPG-NPG_2013_140GW-000001/full/250,/0/default.jpg",1796,8.3 × 6.5,3.3 x 2.6
Francis Scott Key,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_22,1796,74 × 63.8,29.1 x 25.1
Anne Hume Shippen,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1,1796,6.7 x 5.3,2.6 x 2.1
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1936.6.1_1,1796,6.5 x 5.1,2.6 x 2.0
Conrad Wunder,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.52_1,1797,14.0 x 9.7,5.5 x 3.8
Mrs. Cornelius Baldwin (Mary Briscoe),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1943.3.2_1,1797,6.5 x 5.4,2.6 x 2.1
Col. Nathaniel Darby,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.7A_1,1798,5.1 x 4.0,2.0 x 1.6
San Juan Nepomuceno,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.5_1,1798,106.1 x 74.9,41.8 x 29.5
Marguerite Repiton (Mrs. Joseph),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.3_1,1798,6.7 x 5.7,2.6 x 2.2
Joseph Lavoir de Repiton,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.2_1,1798,6.7 x 5.5,2.6 x 2.2
Howes Goldsborough,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1948.5.1_1,1799,7.3 x 5.7,2.9 x 2.2
Robert Oliphant,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.2_1,1799,7.7 x 6.1,3.0 x 2.4
Mrs. Fenno Knight (née du Clois),Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1931.5.1_1,1799,6.7 x 5.4,2.6 x 2.1
La Natividad,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.6_1,1799,84.5 x 70.8,33.3 x 27.9
Robert Hooper,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.1_1,1770-1772,127 x 101.6,50.0 x 40.0
Apollo and the Seasons (Classical Landscape),Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.68_1,1770-1779,70.5 x 90.8,27.8 x 35.7
John Singleton Copley Self-Portrait,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_22-000001,1780-1784,56.5 × 56.5,22.2 x 22.2
Portrait of a Gentleman,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.34_1,1780-1790,3.8 x 3.2,1.5 x 1.3
Jeremiah Williams,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.1_2,1789-1790,75.4 x 62.9,29.7 x 24.8
Portrait of a Lady,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.63_1,1790-1799,5.6 x 4.0,2.2 x 1.6
La Virgen del pilar,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.8_1,1790-1799,58.4 x 42.9,23.0 x 16.9
Nuestra Señora de Belén,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.7_1,1790-1799,24.2 x 19.2,9.5 x 7.6
Saint Anthony of Padua,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.96_1,1790-1799,34.9 x 23.5,13.7 x 9.3
Portrait of a Gentleman with Initials A.S.N.,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1941.5.1_1,1805,6.3 x 5.1,2.5 x 2.0
Jane Stone,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1934.11.1_1,1805,8.2 x 6.3,3.2 x 2.5
John Tower,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.35_1,1806,6.7 x 5.3,2.6 x 2.1
The Misses Mary and Hannah Murray,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1988.2_1,1806,101.9 x 127.3,40.1 x 50.1
Charles Brockden Brown,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_94_83Brown-000002,1806,6.2 x 5.1,2.4 x 2.0
Alexander Hamilton,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_216Hamilton_d1,1806,77.5 x 62.2,30.5 x 24.5
Joel Barlow,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_76_30,1806,7.7 x 6.4,3.0 x 2.5
Elizabeth Linn Brown,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_94_84_int,1806,6.7 x 5.3,2.6 x 2.1
George Clinton,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_172,1806,30.5 x 25.4,12.0 x 10.0
Rubens Peale,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-8600424A_2,1807,66.7 x 54.6,26.3 x 21.5
Thomas Ash II,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_4Ash_d1,1807,66.7 x 54.6,26.3 x 21.5
George Clymer,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-7200010A,1807,77.5 x 63.5,30.5 x 25.0
Fisher Ames,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_215Ames-000001,1807,77.5 x 64.1,30.5 x 25.2
Isabel O'Daly,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.2_1,1808,25.2 x 19.1,9.9 x 7.5
Mr. Nichol,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.1_1,1809,7.5 x 6.0,3.0 x 2.4
Mary Abigail Willing Coale,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1926.6.4_1,1809,73.2 x 60.8,28.8 x 23.9
James Madison,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_32-000001,1809,68.3 × 48.6,26.9 x 19.1
Elizabeth Washington Gamble Wirt,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_89_12-000001,1809,111.1 x 94.6,43.7 x 37.2
William Wirt,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_11,1809,107 x 90.2,42.1 x 35.5
Reverend John Carroll,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-8900562A_1,1809,82.5 x 69.8,32.5 x 27.5
Portrait of a Man,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.2_2,1809,25.3 x 19.7,10.0 x 7.8
Portrait of a Woman,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.1_2,1809,25.3 x 19.8,10.0 x 7.8
Young Woman of the Chase Family,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.17_1,1810,7.3 x 5.7,2.9 x 2.2
Theresa Diana Levesque,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.2_1,1810,6.4 x 5.1,2.5 x 2.0
Portrait of a Lady,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.3_1,1810,7.5 x 6.3,3.0 x 2.5
George Rogers Clark,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_48,1810,68.6 x 57.1,27.0 x 22.5
Portrait of a Gentleman,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.27_1,1810,4.5 x 4.5,1.8 x 1.8
Portrait of Sea Captain John Murphy,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.57_1,1810,54.6 x 44.5,21.5 x 17.5
Portrait of Mrs. Barbara Baker Murphy (Wife of Sea Captain),Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.56_1,1810,55.3 x 44.8,21.8 x 17.6
Miss Lettie Stanley,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.29_1,1810,7.6 x 5.9,3.0 x 2.3
English Gentleman,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.21_1,1810,7.8 x 6.4,3.1 x 2.5
Robert Broome,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1948.2.1_1,1810,2.3 x 2.1,0.9 x 0.8
William Mather Smith,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.2_1,1810,7.6 x 5.8,3.0 x 2.3
John Sergeant,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-8400358A_1,1811,82.5 x 66,32.5 x 26.0
John Randolph,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_246Randolph_d1,1811,68.6 × 55.6,27.0 x 21.9
Samuel Chase,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_2Chase-000001,1811,71.4 × 57.6,28.1 x 22.7
Juliana Westray Wood,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_120Wood_d1,1811,103.8 x 90.8,40.9 x 35.7
Samuel F. B. Morse Self-Portrait,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_208Morse_d1,1812,27.3 x 22.5,10.7 x 8.9
John Howard Payne,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_28-000001,1812,84.7 × 66.8,33.3 x 26.3
Thomas Say,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_112Say-000001,1812,23 x 17,9.1 x 6.7
Francis Asbury,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_90_82Asbury-000001,1813,76.2 x 61,30.0 x 24.0
John Quincy Adams,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_12Adams-000002,1815,61 x 50.8,24.0 x 20.0
Betsey Colt Foot,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_132,1815,75.9 × 60.6,29.9 x 23.9
Hermia and Helena,Painting,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1990.21_1,1818,77.2 x 64.2,30.4 x 25.3
John Quincy Adams,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.58_1,1800-1809,2.2 x 1.9,0.9 x 0.7
William McIntyre,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.22_1,1800-1809,11.4 x 9.1,4.5 x 3.6
Portrait of a Man,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.179_1,1800-1809,22.6 x 14.4,8.9 x 5.7
Portrait of a Man,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.153_1,1800-1809,74.7 x 62.5,29.4 x 24.6
"Three-Way Portrait of Thomas Jefferson, James Monroe, and Unidentified Native American (William McIntosh?)",Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1967.90.1_4,1800-1809,86.3 × 74.3,34.0 x 29.3
Susan Poinsett,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.27_1,1801-1802,7.0 x 5.7,2.8 x 2.2
Dr. Elisha Poinsett,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.26_1,1801-1802,7.1 x 5.7,2.8 x 2.2
Portrait of Adelia Ellender,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.55_1,1803-1805,66.7 x 53.7,26.3 x 21.1
Landscape,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.19_1,1790-1799,27.9 x 33.0,11.0 x 13.0
Matilda Davis Williams,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.2_2,1791-1792,75.3 x 63.0,29.6 x 24.8
Retrato de caballero,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.3_1,1805-1809,22.3 x 15.9,8.8 x 6.3
Portrait of Edward Shippen Burd of Philadelphia,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1971.3_1,1806-1808,68.3 x 55.5,26.9 x 21.9
West Family in the Studio Garden,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_34Westfamily-000004,1808-1809,34.3 × 41.3,13.5 x 16.3
John Marshall,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_48_ext,1809-1810,61.3 x 52.4,24.1 x 20.6
Richard Bache,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_145Bache-000001,1792-1793,76.2 × 63.5,30.0 x 25.0
Le Duc de Liancourt,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1974.87_1,1794-1797,4.1 x 3.4,1.6 x 1.3
Andre Joseph Villard,Miniature,1810-1819,https://ids.si.edu/ids/deliveryService?id=SAAM-1961.9.1_1,1810-1812,7.3 x 5.7,2.9 x 2.2
